               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0675,             0.02216,            0.010086,             0.53076,             0.50841,             0.49509,             0.23577,            0.036992,             0.01174,           0.0023266,            0.070011,           0.0033321,           0.0033321
                   1,            0.048845,            0.018624,            0.003297,             0.65937,             0.56099,             0.58345,                0.29,            0.033743,            0.010748,            0.001572,            0.039925,           0.0065798,           0.0065798
                   2,            0.046099,            0.017965,           0.0028227,             0.55382,             0.51717,             0.48826,             0.23189,            0.037926,            0.010989,           0.0013278,           0.0097537,           0.0097417,           0.0097417
                   3,            0.045449,            0.018427,           0.0027711,             0.64383,             0.60011,             0.62161,             0.30676,            0.033448,            0.010611,          0.00094717,           0.0096143,           0.0096143,           0.0096143
                   4,            0.042071,            0.017765,           0.0023194,             0.68765,             0.61119,             0.63359,              0.3384,            0.031646,            0.010288,           0.0010923,           0.0096143,           0.0096143,           0.0096143
                   5,            0.041236,            0.017655,           0.0020069,             0.67194,             0.62062,             0.64413,             0.32502,            0.031236,            0.010448,          0.00078273,           0.0094857,           0.0094857,           0.0094857
                   6,            0.039721,            0.016923,           0.0019031,             0.69441,             0.65445,             0.69651,             0.40137,             0.02938,           0.0097279,          0.00072171,           0.0093571,           0.0093571,           0.0093571
                   7,            0.039159,            0.017008,           0.0017896,             0.70945,             0.62685,             0.68066,             0.38161,            0.029126,            0.010027,          0.00079413,           0.0092286,           0.0092286,           0.0092286
                   8,            0.037759,             0.01685,           0.0015994,             0.69112,             0.64459,             0.68462,             0.39098,            0.028665,           0.0097216,          0.00060289,              0.0091,              0.0091,              0.0091
                   9,             0.03751,            0.016543,           0.0015946,             0.67314,              0.6708,             0.69675,             0.39751,            0.028177,            0.009646,          0.00061375,           0.0089714,           0.0089714,           0.0089714
                  10,            0.036755,            0.016436,           0.0014826,             0.70834,              0.6243,              0.6639,             0.37661,            0.028762,           0.0099739,          0.00046074,           0.0088429,           0.0088429,           0.0088429
                  11,            0.036517,            0.016155,           0.0014838,             0.73691,             0.66093,             0.71743,             0.40386,            0.027826,           0.0093606,          0.00056437,           0.0087143,           0.0087143,           0.0087143
                  12,            0.035945,             0.01636,           0.0014644,             0.71938,             0.67399,             0.71464,             0.40791,            0.027575,           0.0093321,          0.00053298,           0.0085857,           0.0085857,           0.0085857
                  13,            0.035997,            0.015961,           0.0013434,             0.70773,             0.68462,              0.7262,             0.41147,            0.027451,           0.0092788,          0.00044343,           0.0084571,           0.0084571,           0.0084571
                  14,            0.035282,            0.016139,           0.0012715,             0.71058,             0.67949,              0.7076,             0.41284,            0.027016,           0.0093615,          0.00046066,           0.0083286,           0.0083286,           0.0083286
                  15,            0.035204,            0.015824,           0.0014072,              0.7136,             0.68081,             0.72156,             0.42121,             0.02674,           0.0092612,          0.00041901,              0.0082,              0.0082,              0.0082
                  16,            0.034651,            0.015815,           0.0012308,             0.72114,             0.70833,             0.73304,             0.43626,            0.026361,           0.0091592,           0.0004163,           0.0080714,           0.0080714,           0.0080714
                  17,             0.03438,            0.015837,           0.0013201,             0.71666,             0.68828,             0.71529,              0.4232,            0.026581,           0.0091971,          0.00044631,           0.0079429,           0.0079429,           0.0079429
                  18,             0.03404,             0.01548,           0.0012157,             0.74842,             0.68102,             0.73457,              0.4385,            0.026665,           0.0091224,          0.00038236,           0.0078143,           0.0078143,           0.0078143
                  19,            0.033994,            0.015629,           0.0011636,             0.72766,             0.69936,             0.74605,             0.44749,            0.026206,           0.0090073,           0.0003888,           0.0076857,           0.0076857,           0.0076857
                  20,            0.033813,             0.01534,           0.0012329,             0.73535,              0.6923,             0.74101,             0.44753,            0.026235,           0.0090331,          0.00052274,           0.0075571,           0.0075571,           0.0075571
                  21,            0.033517,            0.015296,           0.0011786,             0.72038,             0.70788,              0.7507,             0.45418,            0.026282,           0.0089763,          0.00043031,           0.0074286,           0.0074286,           0.0074286
                  22,            0.033266,            0.015597,           0.0011473,             0.72246,             0.71802,              0.7423,             0.44957,            0.025713,           0.0089694,           0.0004104,              0.0073,              0.0073,              0.0073
                  23,            0.032968,            0.015307,           0.0011803,             0.72635,             0.73465,             0.74844,             0.45254,            0.025989,           0.0089034,          0.00039339,           0.0071714,           0.0071714,           0.0071714
                  24,            0.032694,            0.015091,           0.0011622,             0.72588,             0.73534,             0.74076,             0.44246,            0.025873,           0.0089514,          0.00044564,           0.0070429,           0.0070429,           0.0070429
                  25,            0.033041,            0.015304,             0.00112,             0.71364,             0.73672,             0.75828,             0.45199,            0.025755,           0.0089268,          0.00037349,           0.0069143,           0.0069143,           0.0069143
                  26,            0.032476,            0.015005,           0.0010963,             0.72574,             0.71407,              0.7513,             0.45709,            0.025895,           0.0089655,          0.00042223,           0.0067857,           0.0067857,           0.0067857
                  27,             0.03205,            0.015056,           0.0011464,              0.7319,             0.71028,             0.74517,             0.45309,            0.025908,           0.0089869,          0.00043494,           0.0066571,           0.0066571,           0.0066571
                  28,            0.031873,            0.014794,           0.0010375,             0.75575,             0.69152,             0.74105,             0.45381,            0.025844,           0.0088791,          0.00047638,           0.0065286,           0.0065286,           0.0065286
                  29,            0.031978,            0.015162,           0.0010949,             0.70139,             0.71996,             0.72869,             0.44268,            0.026188,           0.0088722,          0.00038611,              0.0064,              0.0064,              0.0064
                  30,            0.031257,            0.014759,           0.0010254,              0.7228,             0.72223,             0.74968,             0.45267,            0.025803,           0.0088032,          0.00032446,           0.0062714,           0.0062714,           0.0062714
                  31,            0.031648,            0.014752,           0.0011192,             0.74069,             0.72231,             0.75078,             0.45707,            0.025255,            0.008835,          0.00035734,           0.0061429,           0.0061429,           0.0061429
                  32,            0.031268,            0.014857,           0.0010622,             0.76125,             0.71886,             0.76473,             0.47457,             0.02531,           0.0086775,          0.00039512,           0.0060143,           0.0060143,           0.0060143
                  33,            0.030529,            0.014254,          0.00093587,             0.72117,             0.73296,             0.75209,             0.45958,            0.025627,           0.0088866,          0.00040676,           0.0058857,           0.0058857,           0.0058857
                  34,            0.031067,            0.014698,           0.0011288,             0.72423,             0.74705,             0.75433,             0.45953,            0.025598,           0.0087151,          0.00043994,           0.0057571,           0.0057571,           0.0057571
                  35,            0.030752,            0.014507,          0.00091957,             0.73243,             0.72915,             0.76266,             0.46769,              0.0251,           0.0088896,          0.00031227,           0.0056286,           0.0056286,           0.0056286
                  36,            0.031008,            0.014775,          0.00096651,             0.74121,             0.73297,             0.75531,             0.47479,            0.025155,           0.0086748,          0.00036982,              0.0055,              0.0055,              0.0055
                  37,            0.030216,            0.014433,           0.0009122,             0.71835,             0.75352,             0.76367,              0.4726,            0.024879,           0.0086857,          0.00028985,           0.0053714,           0.0053714,           0.0053714
                  38,            0.030373,            0.014464,          0.00095014,             0.74211,             0.72507,             0.74914,              0.4677,            0.025373,           0.0088244,          0.00029777,           0.0052429,           0.0052429,           0.0052429
                  39,            0.029826,            0.014234,            0.000918,             0.72378,             0.75716,             0.75603,              0.4767,            0.024803,           0.0086811,          0.00028048,           0.0051143,           0.0051143,           0.0051143
                  40,             0.02983,            0.014277,          0.00092079,              0.7273,             0.74183,             0.76023,             0.47521,            0.024703,           0.0086833,           0.0003019,           0.0049857,           0.0049857,           0.0049857
                  41,            0.029214,            0.014007,          0.00087237,             0.71981,             0.73575,             0.75487,             0.47517,            0.025176,           0.0087403,          0.00031766,           0.0048571,           0.0048571,           0.0048571
                  42,            0.029168,            0.014214,           0.0008184,             0.73147,             0.74423,             0.76816,             0.48027,            0.024771,           0.0086529,          0.00030957,           0.0047286,           0.0047286,           0.0047286
                  43,            0.028878,            0.013693,          0.00086469,               0.739,             0.72831,             0.76296,             0.48021,            0.024724,           0.0087129,          0.00030139,              0.0046,              0.0046,              0.0046
                  44,            0.029017,            0.014046,          0.00083109,             0.72518,             0.75071,             0.75405,             0.46943,            0.024761,           0.0087359,          0.00036551,           0.0044714,           0.0044714,           0.0044714
                  45,            0.028622,            0.013962,          0.00078578,             0.75957,             0.70998,             0.76326,             0.47956,            0.024898,           0.0086481,          0.00039632,           0.0043429,           0.0043429,           0.0043429
                  46,             0.02879,            0.013821,          0.00086691,             0.75383,             0.72278,             0.75415,             0.48047,            0.024782,           0.0086366,          0.00028633,           0.0042143,           0.0042143,           0.0042143
                  47,            0.028383,            0.013754,          0.00085908,             0.74111,             0.74481,             0.75941,             0.48255,            0.024872,           0.0087232,          0.00037105,           0.0040857,           0.0040857,           0.0040857
                  48,            0.028353,            0.013569,          0.00076509,             0.74337,             0.74498,             0.75562,             0.47877,            0.024549,           0.0086644,          0.00034857,           0.0039571,           0.0039571,           0.0039571
                  49,            0.027852,            0.013688,          0.00074604,             0.73786,             0.74282,             0.76338,             0.48269,            0.024902,           0.0087085,          0.00029845,           0.0038286,           0.0038286,           0.0038286
                  50,            0.027834,            0.013347,           0.0007375,             0.72919,             0.75018,              0.7658,             0.48716,            0.024673,           0.0086657,          0.00029815,              0.0037,              0.0037,              0.0037
                  51,            0.027622,            0.013533,          0.00066676,             0.75402,             0.72873,             0.76932,             0.49304,            0.024485,           0.0086451,          0.00030952,           0.0035714,           0.0035714,           0.0035714
                  52,            0.027508,            0.013282,          0.00076735,             0.76559,             0.74071,             0.76331,             0.48434,            0.024895,           0.0086427,          0.00033221,           0.0034429,           0.0034429,           0.0034429
                  53,            0.027226,            0.013413,          0.00068398,             0.74384,             0.74562,             0.75613,             0.48777,            0.024754,           0.0088347,          0.00039149,           0.0033143,           0.0033143,           0.0033143
                  54,            0.027018,            0.013385,          0.00075335,             0.72967,             0.74546,             0.75433,             0.48129,            0.025175,           0.0087811,           0.0003986,           0.0031857,           0.0031857,           0.0031857
                  55,            0.027073,            0.013157,          0.00068477,              0.7551,             0.72295,             0.75301,             0.48081,            0.025024,            0.008874,          0.00032174,           0.0030571,           0.0030571,           0.0030571
                  56,            0.026743,            0.013127,          0.00068229,              0.7257,             0.75874,             0.76075,             0.48888,            0.024895,           0.0088218,          0.00032496,           0.0029286,           0.0029286,           0.0029286
                  57,             0.02657,            0.012987,          0.00064817,             0.70839,             0.76665,             0.74659,             0.47372,            0.025056,           0.0087542,          0.00030693,              0.0028,              0.0028,              0.0028
                  58,             0.02649,            0.012873,          0.00065757,             0.74213,             0.73991,             0.75496,             0.48108,            0.024942,           0.0086911,          0.00030379,           0.0026714,           0.0026714,           0.0026714
                  59,            0.026209,            0.013094,          0.00062479,             0.75092,             0.74342,             0.75103,             0.47904,            0.024994,           0.0087609,          0.00035132,           0.0025429,           0.0025429,           0.0025429
                  60,            0.025977,            0.012921,          0.00065561,              0.7538,             0.72378,             0.74951,             0.47779,            0.025032,           0.0088021,          0.00032225,           0.0024143,           0.0024143,           0.0024143
                  61,            0.025722,            0.012698,          0.00062709,             0.76485,             0.73813,             0.75569,             0.48289,            0.024883,           0.0086368,          0.00034299,           0.0022857,           0.0022857,           0.0022857
                  62,            0.026074,            0.012886,           0.0006275,             0.77868,             0.71806,             0.74989,             0.48112,            0.024984,           0.0088387,          0.00030594,           0.0021571,           0.0021571,           0.0021571
                  63,            0.025563,            0.012586,          0.00057165,             0.75274,             0.72493,             0.75235,             0.48419,            0.025174,           0.0088302,          0.00031586,           0.0020286,           0.0020286,           0.0020286
                  64,            0.025254,            0.012627,          0.00060658,             0.76224,             0.72921,             0.75604,             0.48807,            0.024834,           0.0088131,            0.000303,              0.0019,              0.0019,              0.0019
                  65,            0.025155,            0.012331,          0.00057592,             0.75558,              0.7293,             0.75164,             0.48454,            0.024933,           0.0088692,          0.00027786,           0.0017714,           0.0017714,           0.0017714
                  66,            0.025021,            0.012711,          0.00059014,             0.74251,             0.74128,             0.74492,             0.48112,            0.025016,           0.0088581,           0.0002736,           0.0016429,           0.0016429,           0.0016429
                  67,            0.024505,            0.012418,          0.00057281,              0.7657,             0.73535,             0.74556,             0.48316,            0.025125,           0.0088604,          0.00026857,           0.0015143,           0.0015143,           0.0015143
                  68,            0.025011,            0.012344,          0.00057298,             0.73895,             0.74819,               0.747,             0.48668,            0.025179,             0.00891,          0.00029081,           0.0013857,           0.0013857,           0.0013857
                  69,             0.02445,            0.012351,          0.00058007,             0.74687,              0.7323,             0.74464,             0.48671,            0.025104,           0.0089587,           0.0003145,           0.0012571,           0.0012571,           0.0012571
